budget-forecaster	1	H	# Deterministic Task-Reward Budget Forecaster
budget-forecaster	9	T	python3 -m unittest test_forecast -v
budget-forecaster	24	T	| tests | `Ran 36 tests` / `OK` |
budget-forecaster	84	N	-
bundle-index	1	H	# Bundle Index CLI
bundle-index	121	T	check against a real report (must print `0`), and the relocation test
bundle-index	357	T	test_bundle_index.py    170 unit tests
bundle-index	363	N	-
bundle-verifier	1	H	# bundle-verifier
bundle-verifier	32	T	python3 -m unittest test_bundleverify -v
bundle-verifier	266	N	-
claim-checker	1	H	# claimcheck
claim-checker	6	T	kinds of CLAIM from it (a SHA-256 digest, a test count, an exit code), and
claim-checker	150	T	`Ran N tests` / `Ran 1 test` (the exact phrase `unittest` itself prints,
claim-checker	151	T	case-insensitive), or a bare `N tests` / `1 test` mention anywhere in a
claim-checker	153	T	running `python3 -m unittest discover -s . -v` inside the bundle
claim-checker	323	T	no SHA-256, no test count, no command, and no bare number of any kind
claim-checker	416	T	2. The **relocation test**: `bundle_false` is copied to a second,
claim-checker	441	T	byte-stability this tool is required to guarantee. `python3 -m unittest
claim-checker	443	T	(e.g. `Ran 3 tests in 0.000s`) -- that raw text is never copied into the
claim-checker	469	T	  | 7 | `Ran 10 tests` | `MISMATCHED` | real count is 2 |
claim-checker	489	T	While writing `TestExtractSha256Occurrences`, a test for a line like
claim-checker	588	T	`python3 -m unittest discover` exactly once per report even if several
claim-checker	591	T	result -- including a failed-import placeholder test counting as `1` test
claim-checker	608	T	   `python3 -m unittest discover -s . -v` run per report, cached and
claim-checker	639	T	test_claimcheck.py            224 unit tests (180 pre-existing + 44 new)
claim-checker	661	N	-
commit-claim-auditor	1	H	# commit-claim-auditor (`claimhist.py`)
commit-claim-auditor	86	T	1. `Ran N tests in` — literal unittest summary output, e.g.
commit-claim-auditor	87	T	   `Ran 137 tests in 0.045s`.
commit-claim-auditor	88	T	2. `**N tests across M tools**` — bold markdown aggregate claim.
commit-claim-auditor	89	T	3. `N tests` — bare fallback, e.g. `137 tests`.
commit-claim-auditor	92	T	comma and a digit (e.g. the `234` inside `1,234 tests`), the claim is
commit-claim-auditor	118	T	  `python3 -m unittest <module> -v` there and parse the **last**
commit-claim-auditor	154	T	recompute to `CURRENT` (the bundled `test_example.py` really has 3 tests),
commit-claim-auditor	203	T	dedicated `TestBugRegressionHashAdjacentDot` class (3 tests) in
